Date,DELL,NTNX,CEIX,CDLX,GPOR,OII,AMR,ACMR,RCMT,RVMD,VEEV,ESTE,CIVI,HOV,AMWD,CAL,APPF,PRDO,NX,TDW,WFRD,ASTE,SBOW,UFPI,VRT,YETI,CSPI,GIC,KE,BKR,NE,MOD,MOG-A,IIIN,BRZE,OC,ANIP,WDC,CHRD,AEO,ROCK,ADBE,FTAI,COUR,APP,KEX,CSCO,TPX,ODFL,TIPT,SPLK,EVR,TOL,APOG,WK,ANET,WDAY,ITT,CELH,RELY,ALSN,DLR,CRS,VST,HWKN,CRC,BRBR,ANF,NVR,AMAT,KNF,AVT,IRM,ARES,CHX,IDYA,TRGP,IOT,ALKT,KRT,FIX,EXP,SLB,CE,PAGP,KNSL,NOG,SGEN,CNX,NTRA,FSLY,EXEL,APO,EME,MEDP,INTU,VCTR,MMP,VRSK,HNI,FLS,AIT,WOR,FLT,LLY,BCC,V,AZEK,STRL,SKYW,HLNE,PWR,GOOG,GWRE,BR,PSN,COLD,ATR,CW,ACA,PSX,LII
2016-08-17,11.50271224975586,,,,,27.66143226623535,,,4.68514347076416,,39.13999938964844,10.6899995803833,116.40817260742188,44.75,74.8499984741211,22.85648536682129,18.239999771118164,7.052261829376221,17.649280548095703,106.60990905761719,,54.007774353027344,,32.86991500854492,,,6.85067081451416,4.483796119689941,12.039999961853027,29.15944480895996,,10.239999771118164,56.42793273925781,25.669456481933594,,47.8648681640625,68.68000030517578,39.45293045043945,6.958244800567627,15.274354934692383,37.15999984741211,99.69999694824219,780.52001953125,,,54.27000045776367,24.708879470825195,19.186311721801758,45.1927490234375,4.566474437713623,63.119998931884766,42.75153350830078,26.31586456298828,40.99361801147461,16.780000686645508,19.334999084472656,80.69999694824219,32.68336868286133,2.1700000762939453,,24.23548698425293,79.2999038696289,31.926612854003906,,18.79010772705078,,,18.30295753479004,1678.0,25.024206161499023,,35.18537139892578,23.623382568359375,12.92347526550293,,,30.390413284301758,,,,27.238985061645508,79.25495910644531,66.92438507080078,56.54054260253906,18.718441009521484,19.076372146606445,34.12785339355469,45.56999969482422,15.050000190734863,10.4399995803833,,10.619999885559082,12.99499225616455,54.65957260131836,28.139999389648438,106.64532470703125,,42.922908782958984,79.36273956298828,41.1564826965332,41.875789642333984,40.69349670410156,36.65488052368164,168.2100067138672,69.92979431152344,18.45784568786621,77.06885528564453,,6.519999980926514,27.326387405395508,,25.036346435546875,38.99549865722656,60.5099983215332,59.02491760253906,,,68.99982452392578,85.95348358154297,,59.054561614990234,142.57098388671875
2016-08-18,11.435835838317871,,,,,28.338695526123047,,,4.68514347076416,,39.720001220703125,10.75,89.61581420898438,44.75,75.11000061035156,23.290124893188477,18.280000686645508,7.2012529373168945,17.585927963256836,107.57615661621094,,54.8474235534668,,32.74920654296875,,,6.925406455993652,4.461516857147217,12.100000381469727,29.9240779876709,,10.260000228881836,57.431400299072266,25.654298782348633,,48.05406188964844,68.98999786376953,40.405513763427734,7.394028663635254,15.59934139251709,37.25,100.66999816894531,784.2899780273438,,,55.709999084472656,24.51584243774414,19.22270965576172,45.166725158691406,4.78059720993042,63.83000183105469,42.90283966064453,26.44522476196289,41.32527160644531,17.030000686645508,19.75749969482422,81.37000274658203,33.10663986206055,2.1700000762939453,,24.51936149597168,78.86358642578125,32.434322357177734,,19.074277877807617,,,18.72064971923828,1680.3599853515625,25.381818771362305,,35.4256706237793,23.923791885375977,12.880180358886719,,,31.48911476135254,,,,27.219972610473633,80.39601135253906,68.26758575439453,57.186378479003906,19.354341506958008,19.18337631225586,34.78596878051758,45.91999816894531,15.283332824707031,10.25,,10.970000267028809,13.272693634033203,55.124671936035156,27.770000457763672,106.45614624023438,,43.14071273803711,79.2947998046875,41.574588775634766,42.09120559692383,41.00447463989258,37.127559661865234,168.5500030517578,69.64173126220703,18.346521377563477,76.52542877197266,,6.619999885559082,27.28765869140625,,25.725238800048828,38.875,61.47999954223633,59.25520706176758,,,69.94664001464844,86.54048919677734,,59.23694610595703,143.59249877929688
2016-08-19,11.636466026306152,,,,,28.764406204223633,,,4.693772315979004,,39.650001525878906,10.630000114440918,93.31130981445312,44.25,74.94000244140625,23.43467140197754,18.190000534057617,7.290647983551025,17.77599334716797,105.6436538696289,,55.1926155090332,,32.727542877197266,,,7.764094352722168,4.389107704162598,12.149999618530273,30.297771453857422,,10.399999618530273,57.51579284667969,25.298099517822266,,48.207210540771484,67.98999786376953,41.10231018066406,7.33687686920166,15.857662200927734,36.93000030517578,100.31999969482422,786.47998046875,,,55.380001068115234,24.548017501831055,19.217853546142578,45.491817474365234,4.719420433044434,64.79000091552734,43.25587844848633,26.593069076538086,41.98857116699219,17.3700008392334,19.780000686645508,82.08000183105469,33.318267822265625,2.1500000953674316,,24.63468360900879,78.707763671875,31.68206024169922,,19.262266159057617,,,18.837596893310547,1682.0,27.179088592529297,,35.614471435546875,24.077180862426758,12.696910858154297,,,30.932716369628906,,,,27.219972610473633,79.0422134399414,67.81986236572266,57.09164047241211,19.207597732543945,19.39739418029785,33.657779693603516,45.380001068115234,14.550000190734863,9.720000267028809,,11.0,13.002113342285156,54.91150665283203,28.530000686645508,106.70208740234375,,42.360198974609375,79.54715728759766,42.22148513793945,42.444480895996094,41.19993591308594,36.4056282043457,167.55999755859375,69.01323699951172,17.700834274291992,76.71610260009766,,6.590000152587891,26.90032386779785,,25.528413772583008,38.770999908447266,62.220001220703125,59.343780517578125,,,69.90111541748047,86.31912994384766,,59.312923431396484,143.38275146484375
2016-08-22,11.676591873168945,,,,,27.293773651123047,,,4.719656467437744,,39.400001525878906,10.229999542236328,86.84418487548828,44.5,77.68000030517578,23.425640106201172,18.290000915527344,7.171454429626465,18.11992835998535,104.67739868164062,,55.584449768066406,,33.31869888305664,,,7.73087739944458,4.411387920379639,12.100000381469727,29.780349731445312,,10.300000190734863,56.89684295654297,25.752826690673828,,48.6396369934082,67.43000030517578,40.69657897949219,7.051116466522217,15.441017150878906,37.970001220703125,100.23999786376953,788.7899780273438,,,55.09000015258789,24.636491775512695,19.249401092529297,45.166725158691406,4.605804920196533,63.86000061035156,43.054134368896484,27.101276397705078,42.35512161254883,17.450000762939453,19.3700008392334,79.23999786376953,32.93181228637695,2.1500000953674316,,24.679039001464844,79.16746520996094,32.295982360839844,,19.327842712402344,,,18.528512954711914,1680.489990234375,26.729768753051758,,35.614471435546875,24.249753952026367,12.916834831237793,,,30.179121017456055,,,,27.590641021728516,80.12525939941406,66.79412078857422,56.55775833129883,18.53908348083496,20.146446228027344,32.52957534790039,47.060001373291016,14.591667175292969,9.529999732971191,,11.4399995803833,13.030595779418945,55.366920471191406,29.260000228881836,106.45614624023438,,42.275489807128906,79.8577651977539,42.292484283447266,42.1342887878418,41.528690338134766,37.41117477416992,167.41000366210938,69.21400451660156,18.480113983154297,77.27857208251953,,6.5,26.716341018676758,,25.587461471557617,38.60749816894531,61.81999969482422,60.30036926269531,,,70.19242858886719,86.44425201416016,,58.492225646972656,144.5410919189453
2016-08-23,12.037723541259766,,,,,27.245397567749023,,,4.719656467437744,,39.709999084472656,10.600000381469727,82.2248306274414,45.25,84.44000244140625,23.696659088134766,18.31999969482422,7.06219482421875,18.101825714111328,109.5086669921875,,56.162872314453125,,33.65607452392578,,,7.797307968139648,4.411387920379639,12.149999618530273,29.814847946166992,,10.319999694824219,57.206321716308594,26.01050567626953,,49.09010314941406,67.20999908447266,41.01410675048828,7.015397071838379,15.482680320739746,38.47999954223633,101.13999938964844,790.969970703125,,,55.38999938964844,24.918004989624023,19.472639083862305,45.38127899169922,4.597065448760986,64.8499984741211,42.995304107666016,29.485225677490234,42.66059112548828,17.65999984741211,19.510000228881836,79.94999694824219,33.207855224609375,2.1600000858306885,,24.829845428466797,77.64035034179688,32.39975357055664,,19.305984497070312,,,18.979612350463867,1696.8599853515625,27.557891845703125,,35.64878845214844,24.35841941833496,12.909506797790527,,,30.5383243560791,,,,27.562122344970703,80.8504867553711,66.5499038696289,57.100257873535156,18.685827255249023,19.883785247802734,33.56376266479492,47.790000915527344,14.949999809265137,10.039999961853027,,11.609999656677246,13.051957130432129,55.65760803222656,29.190000534057617,107.68586730957031,,42.13026809692383,79.87718200683594,43.11293411254883,42.427242279052734,41.62642288208008,37.83229064941406,168.44000244140625,69.45842742919922,18.87346839904785,77.03072357177734,,6.5,27.035890579223633,,25.941749572753906,38.604000091552734,62.65999984741211,60.53951644897461,,,70.41094207763672,86.49237823486328,,59.13817596435547,144.55935668945312
2016-08-24,12.198226928710938,,,,,26.717878341674805,,,4.702400207519531,,38.810001373291016,10.369999885559082,81.30095672607422,44.75,85.70999908447266,23.335294723510742,18.420000076293945,7.052261829376221,18.038467407226562,102.42280578613281,,55.948299407958984,,33.54774475097656,,,7.855434894561768,4.517216205596924,12.1899995803833,29.452661514282227,,10.34000015258789,56.465450286865234,26.328821182250977,,49.378379821777344,64.70999908447266,40.052703857421875,6.701060771942139,15.699339866638184,38.400001525878906,101.13999938964844,792.0599975585938,,,53.54999923706055,24.982351303100586,19.174175262451172,45.6673583984375,4.640762805938721,64.2300033569336,43.20671844482422,28.67209815979004,42.16312026977539,17.65999984741211,19.38249969482422,79.6500015258789,32.8213996887207,2.1500000953674316,,24.643552780151367,77.04041290283203,31.51776695251465,,19.371562957763672,,,18.628759384155273,1687.989990234375,27.327856063842773,,35.74319839477539,24.288105010986328,12.86551570892334,,,29.80585479736328,,,,27.58112907409668,80.6957778930664,66.20800018310547,56.816097259521484,18.327116012573242,19.45575714111328,32.341556549072266,45.119998931884766,14.741666793823242,9.699999809265137,,10.869999885559082,13.130282402038574,55.39598083496094,28.079999923706055,103.91157531738281,,42.02740478515625,79.70245361328125,42.95514678955078,41.953330993652344,41.741920471191406,36.64628601074219,166.02000427246094,68.47203063964844,18.428159713745117,76.54452514648438,,6.5,26.968107223510742,,25.863019943237305,38.481998443603516,62.34000015258789,60.55721664428711,,,70.62945556640625,86.46349334716797,,59.03175735473633,144.8056182861328
2016-08-25,12.147401809692383,,,,,26.33689308166504,,,4.728285312652588,,38.869998931884766,10.399999618530273,78.5293197631836,45.5,86.47000122070312,23.064271926879883,18.5,6.962867259979248,17.920808792114258,99.84613037109375,,55.966957092285156,,33.68082809448242,,,7.880347728729248,4.572916030883789,12.1899995803833,29.694114685058594,,10.800000190734863,56.568607330322266,26.359130859375,,48.81981658935547,62.869998931884766,40.96118927001953,6.815364837646484,15.474346160888672,38.90999984741211,101.69000244140625,789.6699829101562,,,52.9900016784668,25.167346954345703,19.15962028503418,45.166725158691406,4.640762805938721,65.0999984741211,43.223636627197266,28.866140365600586,42.23294448852539,17.75,19.697500228881836,85.33000183105469,33.0698356628418,2.200000047683716,,24.838714599609375,76.95474243164062,31.768526077270508,,19.45899772644043,,,18.904430389404297,1688.0999755859375,27.281850814819336,,35.83759307861328,24.537382125854492,12.81787109375,,,30.474929809570312,,,,27.676172256469727,80.13494110107422,66.21612548828125,56.816097259521484,18.636913299560547,19.45575714111328,30.649259567260742,43.97999954223633,15.008333206176758,9.640000343322754,,10.90999984741211,13.151643753051758,55.65760803222656,27.690000534057617,104.05345916748047,,42.136314392089844,80.56637573242188,43.499481201171875,41.91886901855469,41.9907112121582,36.86973571777344,165.8000030517578,68.09664916992188,18.413318634033203,76.57312774658203,,6.489999771118164,27.093990325927734,,25.803966522216797,38.47050094604492,62.84000015258789,61.186100006103516,,,71.07555389404297,86.71369934082031,,60.08806610107422,145.5079345703125
2016-08-26,12.238351821899414,,,,,26.141515731811523,,,4.866337299346924,,38.810001373291016,10.329999923706055,80.3770751953125,45.25,85.61000061035156,22.928756713867188,18.5,6.6946821212768555,17.640230178833008,100.81238555908203,,55.948299407958984,,33.29704666137695,,,7.6478376388549805,4.545064449310303,12.029999732971191,29.23993682861328,,10.640000343322754,56.2966423034668,26.328821182250977,,48.62163162231445,63.16999816894531,41.39338684082031,6.851085662841797,15.549347877502441,38.25,102.05999755859375,792.8099975585938,,,51.95000076293945,25.215608596801758,19.123220443725586,44.96517562866211,4.597065448760986,58.52000045776367,43.646480560302734,28.404136657714844,41.86637496948242,17.780000686645508,19.747499465942383,83.08000183105469,33.23545837402344,2.1500000953674316,,24.643552780151367,77.49232482910156,31.595584869384766,,19.222917556762695,,,18.896076202392578,1676.510009765625,27.576292037963867,,35.66595458984375,24.447891235351562,12.821532249450684,,,30.665090560913086,,,,27.276996612548828,79.9898910522461,65.85794067382812,56.153038024902344,18.865184783935547,19.90323829650879,31.40138816833496,45.29999923706055,15.108332633972168,9.829999923706055,,10.960000038146973,13.144522666931152,55.24095916748047,27.1299991607666,104.35612487792969,,42.45700454711914,80.70227813720703,43.310142517089844,42.33246994018555,42.05290222167969,36.74081039428711,166.57000732421875,68.29741668701172,18.635976791381836,76.81147003173828,,6.489999771118164,26.435522079467773,,25.587461471557617,38.47700119018555,62.58000183105469,61.115238189697266,,,71.4397201538086,86.73295593261719,,59.74610900878906,145.28903198242188
2016-08-29,12.385478973388672,,,,,26.4150447845459,,,4.874965667724609,,38.66999816894531,10.390000343322754,83.14868927001953,45.75,88.01000213623047,23.244943618774414,18.68000030517578,6.704615116119385,17.848400115966797,102.74490356445312,,55.966957092285156,,33.826290130615234,,,7.555392742156982,4.5116472244262695,12.199999809265137,29.119199752807617,,10.84000015258789,56.371673583984375,26.22271728515625,,49.243247985839844,62.099998474121094,41.525691986083984,6.94395637512207,15.616007804870605,39.11000061035156,102.30000305175781,,,,52.119998931884766,25.40060043334961,19.1717529296875,45.37479019165039,4.597065448760986,59.75,43.19825744628906,28.551977157592773,42.78277587890625,17.84000015258789,19.9424991607666,83.36000061035156,33.3826789855957,2.240000009536743,,24.909687042236328,78.44287109375,32.75425720214844,,19.40216827392578,,,19.171751022338867,1680.75,27.6498966217041,,36.00065231323242,24.58212661743164,12.924165725708008,,,31.024276733398438,,,,27.134437561035156,80.87950134277344,66.05331420898438,56.65248107910156,18.897798538208008,19.874061584472656,29.897130966186523,45.36000061035156,15.449999809265137,10.0600004196167,,10.979999542236328,13.286932945251465,55.58979415893555,28.200000762939453,104.7723617553711,,42.517513275146484,80.6634521484375,43.870262145996094,42.582340240478516,42.20394515991211,37.31663513183594,166.1300048828125,68.61170959472656,19.41524887084961,77.09748077392578,,6.46999979019165,26.474258422851562,,25.7055606842041,38.60749816894531,62.849998474121094,61.14182662963867,,,71.72191619873047,87.49317932128906,,59.94368362426758,146.584228515625
2016-08-30,12.077848434448242,,,,,26.33689308166504,,,4.926734924316406,,37.63999938964844,10.229999542236328,101.62618255615234,46.0,88.19000244140625,21.91692352294922,18.6200008392334,6.635085582733154,17.78504180908203,102.42280578613281,,55.95762634277344,,33.9129638671875,,,7.698263168334961,4.522787094116211,12.170000076293945,28.745515823364258,,10.789999961853027,56.23100280761719,26.283348083496094,,49.28828430175781,60.86000061035156,41.543331146240234,6.9511003494262695,15.474346160888672,39.279998779296875,102.0,793.4000244140625,,,52.15999984741211,25.368427276611328,19.07469367980957,46.011940002441406,4.68446159362793,58.77000045776367,43.54500198364258,28.875381469726562,42.913692474365234,17.8700008392334,19.922500610351562,84.97000122070312,33.25386428833008,2.059999942779541,,24.900808334350586,77.1495132446289,32.09710693359375,,19.40216827392578,,,15.278926849365234,1686.9300537109375,27.594694137573242,,36.095054626464844,24.543773651123047,13.195404052734375,,,30.742568969726562,,,,27.31501579284668,80.20262145996094,65.64627838134766,55.67082977294922,18.702133178710938,19.961612701416016,31.21335792541504,45.31999969482422,15.399999618530273,10.109999656677246,,11.039999961853027,13.329660415649414,55.67698669433594,27.860000610351562,105.14128112792969,,42.511451721191406,80.56637573242188,44.24892807006836,42.24629592895508,42.41718673706055,36.78377914428711,166.0800018310547,67.88715362548828,19.853132247924805,77.38345336914062,,6.46999979019165,27.374805450439453,,25.53825569152832,38.454498291015625,62.22999954223633,61.16837692260742,,,71.63999938964844,87.69525909423828,,60.2856559753418,147.92498779296875
