Open,High,Low,Close,Volume,LOGRET_16,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
13.069870420190755,13.616682261806703,12.928491972282439,13.079095840454102,560640000,,,,,
13.065385774806634,13.40823403597086,13.05266954832319,13.369585990905762,322760000,,,,,
13.187811340659536,13.210252351184334,12.552981757205131,12.581406593322754,580424000,,,,,
12.933482770253919,13.34265724493693,12.852695877279768,13.308995246887207,461480000,,,,,
13.327445140129552,13.385791009793136,13.007785563794448,13.24191951751709,292528000,,,,,
13.3835465810968,13.924374654631828,13.327444529827535,13.58576488494873,518344000,,,,,
13.7164225490186,13.71841810899848,13.309992231552675,13.44937515258789,291476000,,,,,
13.454612578563953,13.589258672592168,13.349888472879313,13.49625301361084,210028000,,,,,
13.539388821333265,13.564073651721584,13.145923924873552,13.165621757507324,283120000,,,,,
13.193298680322158,13.290293549213,12.814794785631271,12.825765609741211,277780000,,,,,
12.982105977406595,13.059652232326266,12.810308021823458,12.991083145141602,226188000,,,,,
13.077354122549842,13.395268338939731,13.022499048639284,13.3306884765625,258572000,,,,,
13.383299879552478,13.962526891847379,13.21823433925245,13.831122398376465,337780000,,,,,
13.70395790032052,13.805441369219901,13.591503605497362,13.676529884338379,246820000,,,,,
13.745596442257005,13.792223872758743,13.201776842384673,13.617433547973633,251112000,,57.52881939965193,,,
13.544872707989114,13.60895414760022,13.352379181972017,13.400004386901855,163980000,,52.68008887984553,,,
13.195292538180821,13.19803571963846,12.7601872437414,12.883862495422363,371272000,-0.01503965938704113,43.34147753956252,,,
12.962154970541155,13.304753947952756,12.926498371266812,13.01676082611084,228316000,-0.026744603756003467,45.99606074453069,,,
13.040699478065463,13.299768427548274,12.877628563577591,12.955673217773438,271552000,0.0293137216366384,44.95347297259212,,,
13.019005282355215,13.235934407638668,12.86889982035926,13.20227336883545,217204000,-0.008051101294029899,49.891239461737115,,,
13.36360131815735,13.536396077517402,13.250647676765091,13.521186828613281,220440000,0.020870331278651847,55.45608601218657,,,
13.600228117062478,13.895202887143391,13.481042394931094,13.49500560760498,245408000,-0.006702882931342208,54.9168893519715,,,
13.49550393934747,13.637630039577589,13.302761193484542,13.62840461730957,201340000,0.013223541591944504,57.200310352313224,,,
13.68899670751416,13.701214519822724,13.510216204135968,13.555347442626953,169152000,0.004369022314444858,55.541173836544544,,,
13.69123767691583,14.43577930476439,13.69123767691583,14.400871276855469,434624000,0.08967969018830332,67.34616358317132,,,
14.303129980095962,14.544994139772516,14.185190289145298,14.225833892822266,287560000,0.10360351399270051,63.58230307056411,0.2670080175614409,,
14.425307273903554,14.865897960955252,14.303876794568637,14.725517272949219,485352000,0.1253186476094782,68.92206177546495,0.3333999852876879,,
14.940952373280984,15.232186181314688,14.88584714428592,15.210741996765137,450828000,0.13193310705236114,73.05385432791421,0.42032443956236776,,
15.01051986233055,15.251137034656068,14.73624069296745,14.922002792358398,374756000,0.07591552200809025,67.31840260120207,0.4606042955278902,,
15.024730417020098,15.33217217964681,14.910779958011238,15.290032386779785,321960000,0.11151992151530443,70.49777193804316,0.5162720216025498,,
15.131201806083503,15.183564806977943,14.741227712502749,14.866897583007812,274756000,0.0877862523619373,62.91897869825393,0.5202485517407442,,
14.690361096291939,14.834232597555033,14.536764807224552,14.790099143981934,233868000,0.09870294580974727,61.62408686346387,0.5113089371775423,,
14.98508493573601,15.13718502262664,14.807801606602862,14.88734245300293,271724000,0.1445357932183224,62.671655709097855,0.5062353841832312,,
14.735989961421163,15.093549958804896,14.287419880189564,14.318089485168457,325884000,0.09528591544008562,53.470030469897914,0.4510808209082082,0.008138326069134616,0.4429424948390736
14.038324945664725,14.201396806826544,13.354373920782525,14.104900360107422,391780000,0.0849885017466744,50.480769922840906,0.38572149416754264,-0.04577680053722483,0.43149829470476747
14.085702837613358,14.468695336229112,13.719914197710844,14.460965156555176,448320000,0.09106392147780155,55.005204331192395,0.3585223872449905,-0.05838072596782157,0.4169031132128121
14.00865457563382,14.337041196742353,13.181580543821173,13.272590637207031,824436000,-0.01855679554358263,41.40719814833702,0.23832771347168524,-0.14286031979290148,0.3811880332645867
13.71642348961757,13.818156155148777,13.325950967006433,13.678524017333984,500932000,0.013507350901818297,46.29148038023597,0.17382426191045752,-0.1658910170833034,0.3397152789937609
13.838602581815634,13.888471610182824,13.517696920416522,13.805439949035645,353184000,0.012906524188578487,47.7577847537105,0.13143081422005132,-0.1666275718189677,0.298058386039019
13.8635337386102,13.883980140619556,13.360856243880576,13.371079444885254,264116000,-0.013686990489787438,43.39156918857746,0.06206894673300489,-0.1887915514448113,0.2508604981778162
13.391027778765883,13.416211020001251,12.765173441459293,12.771158218383789,377592000,-0.12009934577159342,38.197323206675186,-0.04083869910149929,-0.2333593578234524,0.19252065872195312
12.767170765883725,12.940964273253552,12.052051597493882,12.337800025939941,573344000,-0.14239187725787236,34.94331443911142,-0.15556883356449092,-0.2784715938291552,0.12290276026466432
12.517077021416965,12.517077021416965,11.648610886068413,12.42880916595459,542840000,-0.16956476010210747,36.17305231166047,-0.23642426297376318,-0.287461618590742,0.05103735561697882
12.417341665136506,12.438535695041939,11.536159114068337,11.56283950805664,543112000,-0.2742054232971677,30.30337798012138,-0.3661584409133578,-0.3337566372242693,-0.0324018036890885
12.102603013291521,12.58799398146457,12.031764735768222,12.491714477539062,521824000,-0.1777712384449762,41.305266767983106,-0.3895309936889326,-0.2857033519998753,-0.10382764168905734
