Open,High,Low,Close,Volume,LOGRET_16,RSI_14
14.838839325800745,14.983721052232674,14.084457431263646,14.303277969360352,401277000,,
14.555073030909787,14.840838154777497,14.229339743985019,14.736923217773438,431324000,,
14.479134517120297,14.552074696828278,14.136414963987127,14.25331974029541,389168000,,
14.462150107377472,14.997711535520914,14.0225107548316,14.846835136413574,405044000,,
15.271486598821125,16.042853882336043,15.128603078053724,15.615204811096191,504231000,,
15.49430474778188,15.948932173589144,15.459333553934178,15.895976066589355,384101000,,
15.827032288803178,16.0148781028567,15.550258635785255,15.987899780273438,353285000,,
16.08681762259126,16.623376674174565,15.479314701266622,16.497480392456055,551409000,,
16.264674246702192,16.908148056338185,16.15176778844737,16.88516616821289,447287000,,
16.885165521758307,17.713487319827372,16.885165521758307,17.68750762939453,511102000,,
17.652537414377978,17.858368155388927,17.267852350964912,17.362775802612305,439624000,,
17.02205215333367,17.182921549244565,16.717303453615347,16.75127410888672,452932000,,
16.997072985244962,17.84138241393569,16.811226343623662,17.82439613342285,564967000,,
18.049208922830783,19.22924361779151,17.803411956257197,19.17728614807129,655163000,,
18.811584516005322,19.479038745727824,18.804590277949554,19.249225616455078,496204000,,82.38509339963672
18.897514353205867,19.354140898523635,18.56478682693734,19.307178497314453,449537000,,82.59093948400928
19.684866646452846,20.149486000547537,19.262212714711314,19.785783767700195,489535000,0.32447494866724114,84.22995248207772
19.446067014153495,20.61111281542293,19.38911447092714,20.34832763671875,542142000,0.3226426004469616,85.9091709823185
19.9336676842303,20.123510758938984,19.13432150128274,19.146312713623047,488611000,0.2951203056815382,69.00190339499565
